country,category,brand_name,wikidata_id,opening_rule,opening_hours,osm_additional_tags,description,source_url,opening_hours_url
FI,pet,Musti ja Mirri,Q11883558,open,,,,https://www.mustijamirri.fi/mustijamirri-tiedottaa/musti-ja-mirri-tiedottaa-koronavirus,https://www.mustijamirri.fi/info/myymalat/
FI,restaurant,Kotipizza,Q1628625,open_adapted,,"{ ""takeaway:covid19"": ""yes"", ""access:covid19"": ""no"" }",,https://www.kotipizza.fi/,https://www.kotipizza.fi/ravintolat
FI,sports,Intersport,Q666888,open_adapted,,,,https://www.intersport.fi/fi/kampanjat/poikkeusaika-2020/,https://www.intersport.fi/fi/kaupat/
FI,supermarket,Alepa,Q4716167,open,,,,https://www.alepa.fi/,https://www.alepa.fi/alepa-myymalat
FI,supermarket,HalpaHalli,Q11861256,open_adapted,,,,https://www.halpahalli.fi/tiedotteet/halpahalli-varautuu-koronaviruksen-vaikutuksiin,https://www.halpahalli.fi/myymalat
FI,supermarket,K-Citymarket,Q11868561,open,,,,https://www.k-ruoka.fi/k-citymarket,https://www.k-ruoka.fi/k-citymarket?kauppahaku=K-Citymarket&kaikki-kaupat
FI,supermarket,K-Market,Q11868562,open,,,,https://www.k-ruoka.fi/k-market,https://www.k-ruoka.fi/k-market?kauppahaku=K-Market&kaikki-kaupat
FI,supermarket,K-Supermarket,Q5408668,open,,,,https://www.k-ruoka.fi/k-supermarket,https://www.k-ruoka.fi/k-supermarket?kauppahaku=K-Supermarket&kaikki-kaupat
FI,supermarket,Lidl,Q151954,open,,,,https://www.lidl.fi/myymaelaet,https://www.lidl.fi/myymaelaet
FI,supermarket,Prisma,Q12047031,open,,,,https://www.foodie.fi/,https://www.foodie.fi/store
FI,supermarket,R-kioski,Q1571400,open_adapted,,,,https://www.r-kioski.fi/kioskit/,https://www.r-kioski.fi/kioskit/
FI,supermarket,S-market,Q11891613,open,,,,https://www.s-kanava.fi/web/smarkethokelanto,https://www.s-kanava.fi/web/smarkethokelanto/etusivu#myymalat
FI,supermarket,Sale,Q11892046,open,,,,https://www.foodie.fi/,https://www.foodie.fi/store
FI,supermarket,Tokmanni,Q13423470,open,,,,https://www.tokmanni.fi/,https://www.tokmanni.fi/stores
FR,alcohol,Nicolas,Q3340012,partial,,,,https://www.nicolas.com/,https://www.nicolas.com/fr/reouverture-de-quelques-magasins-nicolas.html
FR,bakery,Boulangerie Louise,,open_adapted,Mo-Sa 08:00-18:00,,,https://www.boulangerielouise.com/,
